Name,Company,Title/Role,Industry,Email,Phone
David Lieb,Y Combinator,General Partner,VC/Accelerator,,
Andrew Miklas,s28 Capital/PagerDuty,Partner & Co-Founder,VC/Technology,,
Harj Taggar,Y Combinator,Managing Partner,VC/Accelerator,,
Michael Seibel,Y Combinator,Partner Emeritus,VC/Accelerator,,
Pete Koomen,Y Combinator/Optimizely,Group Partner & Co-Founder,VC/Technology,,
Harry Stebbings,20VC,Founder & Partner,Venture Capital,,
Eric Koslow,Lattice,Co-Founder,HR Tech,,
Jack Altman,Lattice,CEO & Co-Founder,HR Tech,,
Jared Friedman,Y Combinator/Scribd,Partner & Co-Founder,VC/Technology,,
Tikhon Bernstam,Scribd,Co-Founder,Technology,,
Denis Yarats,Perplexity AI,CTO & Co-Founder,AI/Technology,,
Andy Konwinski,Perplexity AI,Co-Founder,AI/Technology,,
Johnny Ho,Perplexity AI,Co-Founder,AI/Technology,,
Nat Friedman,AI Grant,Investor & Former GitHub CEO,VC/Technology,,
Daniel Gross,AI Grant/Cue,Co-Founder & Investor,VC/AI,,
Mike Krieger,Instagram/Anthropic,Co-Founder & CPO,Technology,,
Nik Storonsky,Revolut,CEO & Founder,Fintech,,
Sebastian Siemiatkowski,Klarna,CEO & Co-Founder,Fintech,,
Oliver Edholm,Depict.ai,Co-Founder,AI/E-commerce,,
